signature,index,avg_threshold
SBS1,0,0.4
SBS2,1,0.4
SBS3,2,0.4
SBS4,3,0.4
SBS5,4,0.4
SBS6,5,0.4
SBS7a,6,0.4
SBS7b,7,0.4
SBS7c,8,0.4
SBS7d,9,0.4
SBS8,10,0.4
SBS9,11,0.4
SBS10a,12,0.4
SBS10b,13,0.4
SBS12,14,0.4
SBS13,15,0.4
SBS14,16,0.4
SBS15,17,0.4
SBS16,18,0.4
SBS17a,19,0.4
SBS17b,20,0.4
SBS18,21,0.4
SBS19,22,0.4
SBS20,23,0.4
SBS21,24,0.4
SBS22,25,0.4
SBS23,26,0.4
SBS24,27,0.4
SBS26,28,0.4
SBS28,29,0.4
SBS29,30,0.4
SBS30,31,0.4
SBS31,32,0.4
SBS32,33,0.4
SBS33,34,0.4
SBS34,35,0.4
SBS35,36,0.4
SBS36,37,0.4
SBS37,38,0.4
SBS38,39,0.4
SBS39,40,0.4
SBS40,41,0.4
SBS41,42,0.4
SBS44,43,0.4
SBS45,44,0.4
SBS51,45,0.4
SBS52,46,0.4
SBS54,47,0.4
SBS56,48,0.4
SBS58,49,0.4
SBS60,50,0.4
