model,signature,threshold
model_1.pth,SBS1,0.4
model_1.pth,SBS2,0.4
model_1.pth,SBS3,0.4
model_1.pth,SBS4,0.4
model_1.pth,SBS5,0.4
model_1.pth,SBS6,0.4
model_1.pth,SBS7a,0.4
model_1.pth,SBS7b,0.4
model_1.pth,SBS7c,0.4
model_1.pth,SBS7d,0.4
model_1.pth,SBS8,0.4
model_1.pth,SBS9,0.4
model_1.pth,SBS10a,0.4
model_1.pth,SBS10b,0.4
model_1.pth,SBS12,0.4
model_1.pth,SBS13,0.4
model_1.pth,SBS14,0.4
model_1.pth,SBS15,0.4
model_1.pth,SBS16,0.4
model_1.pth,SBS17a,0.4
model_1.pth,SBS17b,0.4
model_1.pth,SBS18,0.4
model_1.pth,SBS19,0.4
model_1.pth,SBS20,0.4
model_1.pth,SBS21,0.4
model_1.pth,SBS22,0.4
model_1.pth,SBS23,0.4
model_1.pth,SBS24,0.4
model_1.pth,SBS26,0.4
model_1.pth,SBS28,0.4
model_1.pth,SBS29,0.4
model_1.pth,SBS30,0.4
model_1.pth,SBS31,0.4
model_1.pth,SBS32,0.4
model_1.pth,SBS33,0.4
model_1.pth,SBS34,0.4
model_1.pth,SBS35,0.4
model_1.pth,SBS36,0.4
model_1.pth,SBS37,0.4
model_1.pth,SBS38,0.4
model_1.pth,SBS39,0.4
model_1.pth,SBS40,0.4
model_1.pth,SBS41,0.4
model_1.pth,SBS44,0.4
model_1.pth,SBS45,0.4
model_1.pth,SBS51,0.4
model_1.pth,SBS52,0.4
model_1.pth,SBS54,0.4
model_1.pth,SBS56,0.4
model_1.pth,SBS58,0.4
model_1.pth,SBS60,0.4
model_2.pth,SBS1,0.4
model_2.pth,SBS2,0.4
model_2.pth,SBS3,0.4
model_2.pth,SBS4,0.4
model_2.pth,SBS5,0.4
model_2.pth,SBS6,0.4
model_2.pth,SBS7a,0.4
model_2.pth,SBS7b,0.4
model_2.pth,SBS7c,0.4
model_2.pth,SBS7d,0.4
model_2.pth,SBS8,0.4
model_2.pth,SBS9,0.4
model_2.pth,SBS10a,0.4
model_2.pth,SBS10b,0.4
model_2.pth,SBS12,0.4
model_2.pth,SBS13,0.4
model_2.pth,SBS14,0.4
model_2.pth,SBS15,0.4
model_2.pth,SBS16,0.4
model_2.pth,SBS17a,0.4
model_2.pth,SBS17b,0.4
model_2.pth,SBS18,0.4
model_2.pth,SBS19,0.4
model_2.pth,SBS20,0.4
model_2.pth,SBS21,0.4
model_2.pth,SBS22,0.4
model_2.pth,SBS23,0.4
model_2.pth,SBS24,0.4
model_2.pth,SBS26,0.4
model_2.pth,SBS28,0.4
model_2.pth,SBS29,0.4
model_2.pth,SBS30,0.4
model_2.pth,SBS31,0.4
model_2.pth,SBS32,0.4
model_2.pth,SBS33,0.4
model_2.pth,SBS34,0.4
model_2.pth,SBS35,0.4
model_2.pth,SBS36,0.4
model_2.pth,SBS37,0.4
model_2.pth,SBS38,0.4
model_2.pth,SBS39,0.4
model_2.pth,SBS40,0.4
model_2.pth,SBS41,0.4
model_2.pth,SBS44,0.4
model_2.pth,SBS45,0.4
model_2.pth,SBS51,0.4
model_2.pth,SBS52,0.4
model_2.pth,SBS54,0.4
model_2.pth,SBS56,0.4
model_2.pth,SBS58,0.4
model_2.pth,SBS60,0.4
model_3.pth,SBS1,0.4
model_3.pth,SBS2,0.4
model_3.pth,SBS3,0.4
model_3.pth,SBS4,0.4
model_3.pth,SBS5,0.4
model_3.pth,SBS6,0.4
model_3.pth,SBS7a,0.4
model_3.pth,SBS7b,0.4
model_3.pth,SBS7c,0.4
model_3.pth,SBS7d,0.4
model_3.pth,SBS8,0.4
model_3.pth,SBS9,0.4
model_3.pth,SBS10a,0.4
model_3.pth,SBS10b,0.4
model_3.pth,SBS12,0.4
model_3.pth,SBS13,0.4
model_3.pth,SBS14,0.4
model_3.pth,SBS15,0.4
model_3.pth,SBS16,0.4
model_3.pth,SBS17a,0.4
model_3.pth,SBS17b,0.4
model_3.pth,SBS18,0.4
model_3.pth,SBS19,0.4
model_3.pth,SBS20,0.4
model_3.pth,SBS21,0.4
model_3.pth,SBS22,0.4
model_3.pth,SBS23,0.4
model_3.pth,SBS24,0.4
model_3.pth,SBS26,0.4
model_3.pth,SBS28,0.4
model_3.pth,SBS29,0.4
model_3.pth,SBS30,0.4
model_3.pth,SBS31,0.4
model_3.pth,SBS32,0.4
model_3.pth,SBS33,0.4
model_3.pth,SBS34,0.4
model_3.pth,SBS35,0.4
model_3.pth,SBS36,0.4
model_3.pth,SBS37,0.4
model_3.pth,SBS38,0.4
model_3.pth,SBS39,0.4
model_3.pth,SBS40,0.4
model_3.pth,SBS41,0.4
model_3.pth,SBS44,0.4
model_3.pth,SBS45,0.4
model_3.pth,SBS51,0.4
model_3.pth,SBS52,0.4
model_3.pth,SBS54,0.4
model_3.pth,SBS56,0.4
model_3.pth,SBS58,0.4
model_3.pth,SBS60,0.4
model_4.pth,SBS1,0.4
model_4.pth,SBS2,0.4
model_4.pth,SBS3,0.4
model_4.pth,SBS4,0.4
model_4.pth,SBS5,0.4
model_4.pth,SBS6,0.4
model_4.pth,SBS7a,0.4
model_4.pth,SBS7b,0.4
model_4.pth,SBS7c,0.4
model_4.pth,SBS7d,0.4
model_4.pth,SBS8,0.4
model_4.pth,SBS9,0.4
model_4.pth,SBS10a,0.4
model_4.pth,SBS10b,0.4
model_4.pth,SBS12,0.4
model_4.pth,SBS13,0.4
