signature,threshold
SBS1,0.4
SBS2,0.4
SBS3,0.4
SBS4,0.4
SBS5,0.4
SBS6,0.4
SBS7a,0.4
SBS7b,0.4
SBS7c,0.4
SBS7d,0.4
SBS8,0.4
SBS9,0.4
SBS10a,0.4
SBS10b,0.4
SBS12,0.4
SBS13,0.4
SBS14,0.4
SBS15,0.4
SBS16,0.4
SBS17a,0.4
SBS17b,0.4
SBS18,0.4
SBS19,0.4
SBS20,0.4
SBS21,0.4
SBS22,0.4
SBS23,0.4
SBS24,0.4
SBS26,0.4
SBS28,0.4
SBS29,0.4
SBS30,0.4
SBS31,0.4
SBS32,0.4
SBS33,0.4
SBS34,0.4
SBS35,0.4
SBS36,0.4
SBS37,0.4
SBS38,0.4
SBS39,0.4
SBS40,0.4
SBS41,0.4
SBS44,0.4
SBS45,0.4
SBS51,0.4
SBS52,0.4
SBS54,0.4
SBS56,0.4
SBS58,0.4
SBS60,0.4
