,SP.Syn.Other::S.295,SP.Syn.Kidney::S.187,SP.Syn.Prostate::S.174,SP.Syn.Uterus::S.57,SP.Syn.Esophagus::S.245,SP.Syn.Myeloid::S.170,SP.Syn.Prostate::S.168,SP.Syn.Bladder::S.102,SP.Syn.Prostate::S.295,SP.Syn.Biliary::S.67
SBS1,841.4127998057625,349.67184017084105,242.13905510840385,1376.7513452932176,916.1050564411927,126.89753767504322,141.55090490127242,1054.9761298813642,207.19331834031723,2718.7904772608913
SBS2,1160.6371429366561,0.0,0.0,11487.581548122818,1503.1471968250978,0.0,0.0,5018.317493254173,0.0,673.9901147494413
SBS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS5,858.7836442449943,635.7494536746373,3255.3336637576876,1250.4814757435286,1.0,446.40666090788955,1749.9294426016422,1852.8611843261892,2855.7624616564763,343.3446421736519
SBS6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS7a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS7b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS7c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS7d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS10a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS10b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS13,505.9625933758409,0.0,0.0,0.0,0.0,0.0,0.0,7399.976514674404,0.0,0.0
SBS14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS15,0.0,0.0,0.0,282576.20400978014,0.0,0.0,0.0,0.0,0.0,0.0
SBS16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS17a,0.0,0.0,0.0,0.0,1426.1228017101098,0.0,0.0,0.0,0.0,0.0
SBS17b,0.0,0.0,0.0,0.0,7735.613546784229,0.0,0.0,0.0,0.0,0.0
SBS18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1276.0886459707428
SBS19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS28,0.0,0.0,0.0,0.0,15035.380479115669,0.0,0.0,0.0,0.0,0.0
SBS29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS40,0.0,4714.484995678523,2279.510773573681,3158.1188469371627,12295.543695001825,0.0,0.0,0.0,5282.858117760765,1109.9889060489263
SBS41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
