,SP.Syn.Other::S.295,SP.Syn.Kidney::S.187,SP.Syn.Prostate::S.174,SP.Syn.Uterus::S.57,SP.Syn.Esophagus::S.245,SP.Syn.Myeloid::S.170,SP.Syn.Prostate::S.168,SP.Syn.Bladder::S.102,SP.Syn.Prostate::S.295,SP.Syn.Biliary::S.67
SBS1,842,349,242,1376,916,128,142,1054,207,2718
SBS2,1160,0,0,11487,1503,0,0,5019,0,673
SBS3,0,0,0,0,0,0,0,0,0,0
SBS4,0,0,0,0,0,0,0,0,0,0
SBS5,860,634,3261,1243,0,447,1751,1854,2863,337
SBS6,0,0,0,0,0,0,0,0,0,0
SBS7a,0,0,0,0,0,0,0,0,0,0
SBS7b,0,0,0,0,0,0,0,0,0,0
SBS7c,0,0,0,0,0,0,0,0,0,0
SBS7d,0,0,0,0,0,0,0,0,0,0
SBS8,0,0,0,0,0,0,0,0,0,0
SBS9,0,0,0,0,0,0,0,0,0,0
SBS10a,0,0,0,0,0,0,0,0,0,0
SBS10b,0,0,0,0,0,0,0,0,0,0
SBS12,0,0,0,0,0,0,0,0,0,0
SBS13,506,0,0,0,0,0,0,7401,0,0
SBS14,0,0,0,0,0,0,0,0,0,0
SBS15,0,0,0,282578,0,0,0,0,0,0
SBS16,0,0,0,0,0,0,0,0,0,0
SBS17a,0,0,0,0,1425,0,0,0,0,0
SBS17b,0,0,0,0,7737,0,0,0,0,0
SBS18,0,0,0,0,0,0,0,0,0,1275
SBS19,0,0,0,0,0,0,0,0,0,0
SBS20,0,0,0,0,0,0,0,0,0,0
SBS21,0,0,0,0,0,0,0,0,0,0
SBS22,0,0,0,0,0,0,0,0,0,0
SBS23,0,0,0,0,0,0,0,0,0,0
SBS24,0,0,0,0,0,0,0,0,0,0
SBS26,0,0,0,0,0,0,0,0,0,0
SBS28,0,0,0,0,15034,0,0,0,0,0
SBS29,0,0,0,0,0,0,0,0,0,0
SBS30,0,0,0,0,0,0,0,0,0,0
SBS31,0,0,0,0,0,0,0,0,0,0
SBS32,0,0,0,0,0,0,0,0,0,0
SBS33,0,0,0,0,0,0,0,0,0,0
SBS34,0,0,0,0,0,0,0,0,0,0
SBS35,0,0,0,0,0,0,0,0,0,0
SBS36,0,0,0,0,0,0,0,0,0,0
SBS37,0,0,0,0,0,0,0,0,0,0
SBS38,0,0,0,0,0,0,0,0,0,0
SBS39,0,0,0,0,0,0,0,0,0,0
SBS40,0,4717,2274,3166,12298,0,0,0,5280,1112
SBS41,0,0,0,0,0,0,0,0,0,0
SBS44,0,0,0,0,0,0,0,0,0,0
SBS45,0,0,0,0,0,0,0,0,0,0
SBS51,0,0,0,0,0,0,0,0,0,0
SBS52,0,0,0,0,0,0,0,0,0,0
SBS54,0,0,0,0,0,0,0,0,0,0
SBS56,0,0,0,0,0,0,0,0,0,0
SBS58,0,0,0,0,0,0,0,0,0,0
SBS60,0,0,0,0,0,0,0,0,0,0
