,SP.Syn.Kidney::S.103,SP.Syn.Uterus::S.261,SP.Syn.Ovary::S.234,SP.Syn.CNS::S.269,SP.Syn.Lung::S.155,SP.Syn.CNS::S.35,SP.Syn.Prostate::S.224,SP.Syn.Esophagus::S.158,SP.Syn.Pancreas::S.110,SP.Syn.Stomach::S.244,SP.Syn.Head::S.64,SP.Syn.Pancreas::S.36,SP.Syn.Bone.SoftTissue::S.111,SP.Syn.Uterus::S.169,SP.Syn.Ovary::S.148,SP.Syn.Myeloid::S.265,SP.Syn.Esophagus::S.143,SP.Syn.Prostate::S.125,SP.Syn.Breast::S.149,SP.Syn.Biliary::S.21,SP.Syn.Thymus::S.174,SP.Syn.CNS::S.140,SP.Syn.Biliary::S.55,SP.Syn.Pancreas::S.287,SP.Syn.Prostate::S.116,SP.Syn.Lung::S.153,SP.Syn.Lymphoid::S.221,SP.Syn.Bladder::S.206,SP.Syn.Liver::S.176,SP.Syn.Esophagus::S.258,SP.Syn.Colon::S.69,SP.Syn.Myeloid::S.149,SP.Syn.Liver::S.16,SP.Syn.Bladder::S.237,SP.Syn.Myeloid::S.126,SP.Syn.Lymphoid::S.227,SP.Syn.Thymus::S.78,SP.Syn.Prostate::S.76,SP.Syn.Thymus::S.159,SP.Syn.Myeloid::S.23,SP.Syn.Breast::S.168,SP.Syn.Thymus::S.147,SP.Syn.CNS::S.293,SP.Syn.Prostate::S.202,SP.Syn.Lymphoid::S.154,SP.Syn.Esophagus::S.128,SP.Syn.Colon::S.286,SP.Syn.Ovary::S.3,SP.Syn.Colon::S.112,SP.Syn.Bladder::S.179,SP.Syn.Liver::S.217,SP.Syn.Ovary::S.264,SP.Syn.Thymus::S.276,SP.Syn.Lymphoid::S.32,SP.Syn.CNS::S.81,SP.Syn.Head::S.133,SP.Syn.Head::S.80,SP.Syn.Other::S.119,SP.Syn.Head::S.8,SP.Syn.Myeloid::S.151,SP.Syn.Kidney::S.19,SP.Syn.Skin::S.276,SP.Syn.CNS::S.199,SP.Syn.Bone.SoftTissue::S.131,SP.Syn.Bone.SoftTissue::S.125,SP.Syn.Lung::S.195,SP.Syn.Kidney::S.243,SP.Syn.Pancreas::S.46,SP.Syn.Stomach::S.13,SP.Syn.Other::S.79,SP.Syn.Esophagus::S.176,SP.Syn.Colon::S.120,SP.Syn.Biliary::S.72,SP.Syn.Esophagus::S.193,SP.Syn.Esophagus::S.283,SP.Syn.Kidney::S.292,SP.Syn.Head::S.157,SP.Syn.Colon::S.1,SP.Syn.Thymus::S.44,SP.Syn.Stomach::S.19,SP.Syn.CNS::S.244,SP.Syn.Lung::S.158,SP.Syn.Biliary::S.214,SP.Syn.CNS::S.167,SP.Syn.Liver::S.139,SP.Syn.Bone.SoftTissue::S.177,SP.Syn.Bone.SoftTissue::S.34,SP.Syn.Kidney::S.43,SP.Syn.Skin::S.261,SP.Syn.Colon::S.183,SP.Syn.Ovary::S.297,SP.Syn.Lung::S.23,SP.Syn.Lung::S.37,SP.Syn.Liver::S.273,SP.Syn.Bone.SoftTissue::S.234,SP.Syn.Lung::S.71,SP.Syn.Colon::S.193,SP.Syn.Colon::S.59,SP.Syn.Myeloid::S.94,SP.Syn.Liver::S.160
SBS1,271,834,675,639,214,134,238,1179,627,230,522,540,361,1781,623,76,975,566,574,697,218,5,23,29,324,389,240,1147,75,506,4114,61,169,509,51,338,103,780,45,289,350,94,1092,738,507,1941,3718,513,8587,187,84,363,182,50,16,137,2564,312,433,264,11,139,334,169,32,90,1445,247,54,639,3251,7005,1554,2108,1198,158,539,2573,63,479,1161,225,2101,551,381,291,12,231,244,3568,703,382,393,92,81,787,11613,26626,31,57
SBS2,0,5818,489,0,2676,0,0,0,96,0,566,0,0,1964,0,0,0,0,112,0,0,0,0,358,0,2451,0,8822,0,0,0,0,0,10759,0,0,0,0,0,0,258,87,0,0,0,0,0,0,0,8245,0,213,0,0,0,1276,408,3103,34,0,637,0,0,0,123,2487,0,26,0,663,0,0,0,2260,2177,0,859,0,0,0,0,2257,0,0,0,177,0,0,0,0,474,1493,1566,0,0,5476,0,0,0,0
SBS3,0,0,3114,0,0,0,0,0,0,0,0,0,0,0,2136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3951,0,0,2963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2757,0,0,0,0,0,0,0,0,0
SBS4,0,0,0,0,23928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30074,0,0,3776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4835,0,0,0,0,0,0,0,0,0,24598,38510,0,0,5423,0,0,0,2128
SBS5,526,838,289,1513,15588,120,576,299,4443,2131,6102,1971,109,47074,3219,1257,1397,447,3693,5051,541,278,2311,866,1861,10429,942,4005,10950,1636,2271,224,5296,762,780,489,787,3369,905,193,1631,1215,1852,1009,2556,4299,29318,1452,0,3952,7236,1322,1285,1540,707,1711,5479,2490,8288,585,778,940,1417,162,437,13823,1778,1848,2,706,624,55,489,143,2253,343,19422,12443,1367,8447,480,12980,5239,294,8751,802,135,2318,0,18118,1995,6719,2666,5679,1365,846,452,14761,2329,9932
SBS6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5239,0,0,0,0,0,0
SBS7a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBS7b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
SBS7c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2169,0,0,0,0,0,0,0,0,0,0,0
SBS7d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2798,0,0,0,0,0,0,0,0,0,0,0
